"Analytics";"Analytics"
"My application in figures";"Mon application en quelques chiffres"
"Installed application";"Application installée"
"times";"fois"
"Global visits";"Visites totales"
"Your customers in figures";"Vos clients en quelques chiffres"
"Used points";"Points consommés"
"Average by customer";"Moyenne par client"
"Percentage of returning customers";"Pourcentage de clients fidélisés"
"Your best customers";"Vos meilleurs clients"
"Update your";"Modifiez votre"
"Choose your colors";"Choisissez vos couleurs"
"Choose your template";"Choisissez votre thème"
"Change your template";"Modifiez votre thème"
"Choose your homepage image";"Choisissez l'image de la page d'accueil"
"Choose your layout";"Choisissez votre mise en page"
"Choose your font style";"Choisissez votre police"
"Choose a font family";"Choisissez une police"
"Choose your font size";"Choisissez une taille pour la police"
"Your pages";"Vos pages"
"Add pages";"Ajoutez des pages"
"Delete this page?";"Etes-vous sûr de vouloir supprimer cette page ?"
"An error occurred while loading";"Une erreur est survenue lors du chargement."
"You must have published your application to access this feature";"Vous devez avoir publié votre application pour accéder à cette fonctionnalité"
"Homepage preview";"Aperçu de la page d'accueil"
"Editor";"Editeur"
"Promote";"Promouvoir"
"Extras";"Extras"
"Design";"Design"
"Features";"Fonctions"
"Publication";"Publication"
"Style";"Style"
"Colors";"Couleurs"
"Information";"Informations"
"Ready? Publish my app!";"Ready ? Publier mon app !"
"My domain";"Mon domaine"
"You will be able here to preview your application on your mobile. We just need you to choose a subdomain for your HTML5 application. Your Iphone and Android applications and your mobile website will share the same design.";"Ici, vous serez capable de tester l'application sur votre téléphone. Mais avant, nous avons besoin que vous choisissiez un sous-domaine pour votre application HTML5. Vos applications iPhone et Android auront le même aspect que votre site mobile."
"Choose your subdomain name";"Choisissez votre sous-domaine"
"My QRCode";"Mon QRCode"
"You may preview your mobile website on your mobile phone. Your Iphone and Android native apps and your mobile website will share the same design.";"Vous pouvez prévisualiser votre site mobile sur votre téléphone. L'aspect de vos applications natives iPhone et Android seront les mêmes que votre site mobile."
"Scan this code to preview your app on your mobile phone";"Scannez ce code pour voir votre application sur téléphone"
"Change your";"Modifiez votre"
"Choose an";"Choisissez une"
"Choose a <br /><span class=""bold"">picture</span>";"Choisissez une <br /><span class=""bold"">image</span>"
"Error while generating";"Erreur lors de la génération."
"to retry";"pour réessayer"
"Select";"Sélectionner"
"Unselect";"Déselectionner"
"screenshot selected";"capture sélectionnée"
"screenshots selected";"captures sélectionnées"
"5 maximum screenshots allowed, please unselect one to continue";"5 captures maximum autorisées, merci d'en déselectionner une pour continuer"
"Library";"Bibliothèque"
