"An error occurred while saving your page.";"Une erreur est survenue lors de la sauvegarde de votre page."
"Page successfully saved";"Page sauvegardée avec succès"
en;fr
Creation;Création
"Add sections:";"Ajouter des éléments :"
Picture;Image
Pictures;Images
"Add ";"Ajoutez des"
Alignment:;"Alignement :"
Size:;"Taille :"
Description:;"Description :"
Small;Petit
Medium;Moyen
Large;Grand
"Video URL";"Adresse de la vidéo"
"Loading picture:";"Image de chargement"
".mp4 or .3gp format";"format .mp4 ou .3gp"
"Video URL:";"Adresse de la vidéo :"
"Add a";"Ajoutez une"
"Loading picture:";"Image de chargement :"
".mp4 or .3gp format:";"format .mp4 ou .3gp :"
"Your browser does not support the video tag";"Votre navigateur ne supporte pas la balise video"
"Wondering how it works?<br />It's dead simple!<br />No coding's involved.";"Comment ça marche ?<br />C'est tellement simple !<br />Et sans connaissance informatique."
"Tiger lets you build great mobile applications for small businesses, and in white label: no Tiger mentions, <span class=""yellow f-bold"">your custom admin panel on your domain.</span>";"Avec Tiger, créez de belles applications mobiles pour les commerçants. Seulement belles ? Pas seulement, grâce à nos <span class=""yellow f-bold"">fonctionnalités marketing performantes</span>"
"Try for Free";"Essayer gratuitement"
"1. Create";"1. Créez"
Create;Créez
"With no technical knowledge and in a matter of minutes.";"Sans connaissance technique et en quelques minutes."
"Choose from an array of <span class=""f-bold"">added-value features</span> and <span class=""f-bold"">customize your design</span>. That's all! It's as <span class=""f-bold"">simple</span> as that.";"Choisissez parmi un lot de <span class=""f-bold"">fonctionnalités</span> à valeur ajoutée, et personnalisez le <span class=""f-bold"">design</span>. That's all folks! C'est <span class=""f-bold"">simple</span> comme bonjour."
"2. Publish";"2. Publiez"
Publish;Publiez
"We take care of submitting the application for you.";"Sans vous souciez de rien, nous nous en chargeons pour vous."
"<span class=""f-bold"">We submit for you</span> your application on AppStore and Google Play. You are then <span class=""f-bold"">free to manage and update</span> your application whenever you like.";"<span class=""f-bold"">Nous publions</span> votre application sur l'AppStore ou Google Play. Vous pouvez ensuite gérer et mettre à jour vos applications, <span class=""f-bold"">quand vous le souhaitez</span>."
"3. Distribute";"3. Distribuez"
Distribute;Distribuez
"...To your clients and your clients' clients!";"À vos clients, aux clients de vos clients."
"You'll find everything you need to promote your applications: <span class=""f-bold"">QR Codes</span>, A5 posters and POS advertising, all ready to print.";"Retrouvez tout le nécessaire à la promotion d'une application : des <span class=""f-bold"">QR Codes</span>, affiches A5 et PLV à imprimer. Puisqu'on vous dit que c'est <span class=""f-bold"">clé en main</span> !"
Features;Fonctionnalités
"Here are a few of the mobile features we offer, tailor made for small businesses.";"Pour vous mettre l'eau à la bouche, voici quelques unes de nos fonctionnalités."
"See all features";"Voir toutes les fonctionnalités"
"See all features";"Voir les fonctionnalités"
"News Wall";"Message wall"
Listings;Listings
"Photo Gallery";Galerie
"Video Gallery";"Galerie vidéos"
"Loyalty Card";"Carte de fidélité"
"Social Gaming";"Social Gaming"
"Push Notifications";"Notifications Push"
"Why use Tiger";"Pourquoi utiliser Tiger ?"
"A platform specifically for resellers";"Plateforme dédiée aux revendeurs"
"Tiger app creator is the first platform specifically intended for resellers who wish to create and sell mobile solutions for small businesses. Tiger is designed for individuals, advertising agencies and freelancers.";"Tiger app creator est la première plateforme dédiée à tous ceux qui souhaitent créer et commercialiser des solutions mobiles à leurs clients commerçants. Revendeurs, agences de communication, développeurs freelance Tiger vous est dédié."
"Effective Features";"Des fonctionnalités performantes"
"We work with a panel of small and local businesses, and we develop our features according to their needs. You can be sure of the success of your future mobile apps, as they are subject to hands-on tests.";"Nous travaillons avec un panel de commerçants partenaires. Les fonctionnalités sont donc développées selon leurs besoins. Grace à nos tests terrain vous pouvez être assurés du succès de vos futures applications."
"We make life easier";"Parce que nous vous facilitons la vie"
"With Tiger, you don't need to understand a single line of code to create a full-fledged mobile application. No need to worry about the ins and outs of submission and certificates generation.  We handle all that for you.";"Avec Tiger, pas besoin de mettre les mains dans le code pour créer une application mobile. Pas besoin non plus de connaître les ficelles de la publication et la génération de certificats. Nous gérons tout pour vous."
;
"Our job? Facilitate yours.<br /> Build apps for small businesses in minutes.<br /> Choose great features, leave us the hassle.";"Une app mobile, c'est bien<br />Une app performante, c'est mieux !<br />Pensez marketing, avec Tiger App."
"We build well-adapted features for small businesses. As there is no interest to create mobile apps with no effective features, discover how ours will improve the marketing and CRM of local businesses.";"Chez Tiger, nous pensons qu'il n'y a peu d'intérêt à avoir une application mobile si elle ne possède pas des fonctionnalités marketing efficaces. Découvrez la liste des fonctionnalités disponibles pour vos applications."
Cross-Platforms;Multi-plateformes
"In one go, you can create applications that run on <span class=""f-bold"">IPhone and Android</span>, as well as a <span class=""f-bold"">Webapp</span>.";"Créez en une seule fois des applications <span class=""f-bold"">Iphone, Android, et une Webapp.</span>"
"Creation made easy";"Édition simple"
"<span class=""f-bold"">No technical knowledge</span> required to create your own customized applications.";"<span class=""f-bold"">Aucune connaissance technique</span> n'est nécessaire pour créer vos applications à vos couleurs."
"Admin Panel in your name";"Admin à votre nom"
"Get a fully white-label administration interface on your website <span class=""f-bold"">in your own colors.</span>";"Disposez d'une interface d'administration sur votre site en <span class=""f-bold"">totale marque blanche</span>."
"Cloud Hosting";"Hébergement Cloud"
"A safe, easy-accessed storage service for <span class=""f-bold"">high-performance</span> applications.";"Un hébergement sécurisé et haute disponibilité pour des apps <span class=""f-bold"">haute performance</span>."
"Loyalty Card";"Carte de fidélité"
"Create a <span class=""f-bold"">digital loyalty program</span> featuring one or several cards.";"Mettez en place un <span class=""f-bold"">programme de fidélisation digitale</span> avec une ou plusieurs cartes."
"<span class=""f-bold"">Get the store sales rolling</span> with simple, high-performance discounts.";"<span class=""f-bold"">Dynamisez vos ventes</span> avec des réductions simples, performantes et multi-configurations."
"Special discounts";"Réductions spéciales"
"Send <span class=""f-bold"">targeted discounts</span> to best or worst clients to make them coming back.";"<span class=""f-bold"">La tournée du patron</span> dans le mobile de vos clients. Choisissez vos clients et envoyez."
"Social Networks";"Réseaux sociaux"
"Make your application and <span class=""f-bold"">social network pages</span> communicate each other.";"Partagez votre activité et <span class=""f-bold"">vos pages sociales</span> directement dans votre application."
"Let businesses contact their clients whenever they want and whenever the need arises. <span class=""f-bold"">It's unlimited.</span>";"Contactez vos clients, quand vous voulez, quand vous en avez besoin. C'est <span class=""f-bold"">illimité</span>."
"Challenge users and <span class=""f-bold"">increase their purchase frequency</span>. An original, fun, effective tool.";"Challengez vos clients et faites les revenir plus souvent. C'est <span class=""f-bold"">original, ludique, efficace</span>."
"RSS Feeds";"Flux RSS"
"A blog or news feeds that you'd like to feature? <span class=""f-bold"">Feeds can become part of your application.</span>";"Vous voulez proposer un flux de blog ou d'actus choisies ? <span class=""f-bold"">Vos flux sont affichés simplement</span>."
"Thorough statistics";"Statistiques complètes"
"<span class=""f-bold"">Keep an eye</span> on your operations at a glance.";"Suivez toutes vos opérations et toutes vos actions d'<span class=""f-bold"">un seul coup d'oeil</span>."
"Product / price list";"Listing Produits/Tarifs"
"All products and prices at users' fingertips. A useful feature to let <span class=""f-bold"">users share with their friends.</span>";"Tous vos produits, tous vos tarifs dans le mobile de vos clients. <span class=""f-bold"">Utile et à partager entre amis</span>."
"Photo / Video gallery";"Galerie Photos/Vidéos"
"<span class=""f-bold"">Highlight events and stores</span> with attractive multimedia galleries.";"Mettez en avant vos soirées et votre commerce via de <span class=""f-bold"">belles galeries multimédia</span>."
CRM;"Relation Clients"
"Gain the advantage of a well-managed client base. Gather information to be used for <span class=""f-bold"">targeted operations.</span>";"Créez de l'actif avec votre base clients. Récupérez leurs infos et <span class=""f-bold"">générez des actions ciblées</span>."
"News Wall";"Mur d'infos"
"<span class=""f-bold"">Enable store to share</span> with their clients and get feedbacks";"<span class=""f-bold"">Partagez tout avec vos clients</span>, et laissez les inter-agir avec vous."
"Your design";"Votre design"
"Custom every pages with your colors, and every backgrounds with your images.";"Personnalisez les couleurs de chaque page, affichez de belles images de fond."
"Custom Pages";"Pages CMS"
"Create pages with the content you need: text, photo galleries, videos, etc.";"Créez des pages avec le contenu que vous voulez : texte, photos, vidéos, etc."
"Contact pages";"Pages de contact"
"Allow one-touch-call, geolocation, links to social pages, and much more.";"Proposez l'appel téléphonique en une touche, la géolocalisation et bien plus."
Booking;Réservation
"Allow users to book a place or anything you want, with an easy and multi-store plug-in.";"Permettez la prise de réservation, avec un module simple, multi-boutiques."
"App Stores submission";"Soumission sur les stores"
"<span class=""f-bold"">We take care</span> of submitting your application in the various app stores.";"<span class=""f-bold"">Nous nous chargeons pour vous</span> de soumettre vos apps sur les différents stores."
"Free trial";"Essai Gratuit"
"Play with Tiger as much as you like. You'll only pay <span class=""f-bold"">when you want</span> to submit your application.";"Testez Tiger autant que vous le souhaitez. <span class=""f-bold"">Seule la soumission de vos applications est payante</span>."
"Unlimited pages";"Pages illimitées"
"Create as many custom pages as you need. <span class=""f-bold"">It's unlimited.</span>";"Créez autant de pages que nécessaire. Vos applications n'ont <span class=""f-bold"">aucune limitation</span>."
Promoting;Promotion
"Receive <span class=""f-bold"">QR Code</span> and <span class=""f-bold"">POS ads</span> to make the application known.";"Retrouvez votre QR Code et des éléments pour <span class=""f-bold"">faire connaître vos apps</span>."
;
"Create effective mobile applications <br /> for small businesses";"Créez des applications mobiles<br />performantes pour les commerçants"
"White-label applications, without technical knowledge, and <span class=""f-bold"">at a fair price.</span>";"Sans connaissances techniques, en marque blanche et <span class=""f-bold"">au prix juste</span>."
"Choose the pricing that suits you best:";"Choisissez la formule qui vous convient le mieux :"
"No additional or hidden fees. No engagement. Cancel anytime.";"Pas d'autres frais. Sans engagement. Annulez quand vous voulez."
"(one-time fee)";"(une seule fois)"
5€/month;5€/mois
15€/month;15€/mois
"Applications are full White Labeled, no Tiger mentions. You have your own admin panel on your domain.";"Les applications sont en totale marque blanche, aucune mention concernant Tiger n'apparaît sur les apps que vous créez."
"White Label apps";"App en Marque Blanche"
"With Tiger no annual fees. You pay one time and then you just have the hosting monthly fees you can stop whenever you want.";"En utilisant Tiger, vous n'avez pas à payer chaque année. Vous réglez une seule fois la création de votre application. Et ensuite vous n'avez que l'hébergement à payer. Des facilités de paiement, en 3, 6 ou 12 fois sont disponibles"
"You can set up all info in your app in order that our brand doesn't appear.";"Tous les éléments sont paramétrables afin de ne pas afficher notre marque si vous ne le souhaitez pas."
"With Tiger you can resell apps easily and so create your own admin interface on your domain, and create access for your clients. It will allow them to manage their apps without knowing Tiger.";"Avec Tiger, vous pouvez facilement revendre des applications et donc créer votre interface d'administration sur votre nom de domaine et créer des accès pour vos clients. Ils peuvent ainsi gérer eux-mêmes leur application sans devoir se connecter sur Tiger."
"White Label Admin Panel";"Votre Admin en Marque Blanche"
"Your native iPhone app published on the Apple App Store.";"Votre application iPhone publiée sur l'App Store d'Apple."
"iPhone App";"App iPhone"
"Your native Android app on the Google Play store.";"Votre application Android publiée sur le Google Play d'Android."
"Android App";"App Android"
"Your web app (mobile website) with exactly the same look&feel of your native apps";"Votre Webapp ou site mobile avec exactement les mêmes designs et fonctionnalités que votre application. Vous pouvez toucher tous les utilisateurs de type Windows Phone et Blackberry."
"HTML5 App (web app)";"App HTML5 (web app)"
"No hassle for you, we submit your apps for you on the App Store and Google Play under your own developer accounts, if you have one, or under ours.";"Aucun stress pour vous, nous nous chargeons de publier vos applications sur les stores d'Android et d'Apple sous votre compte développeur si vous en possédez un, ou sous notre compte si vous n'en possédez pas."
"Submission for you on stores";"Nous soumettons votre app sur les stores"
"Custom the app design to make it really unique";"Personnalisez le design de votre application pour la rendre vraiment unique."
"Custom Design";"Design personnalisable"
"We give QR Code and POS ads to make the application known";"Dans votre interface d'administration vous retrouverez tous les outils pour promouvoir et faire connaître l'application que vous avez créée."
"Promoting tools";"Outils de promotion"
"Our premium support team is reachable to answer your questions.";"Notre support est à votre écoute pour résoudre tous vos problèmes."
Support;Support
"In your admin panel on Tiger or on your domain, find all your app statistics";"Dans votre interface d'administration ou sur votre administration en marque blanche, retrouvez des statistiques détaillées par application."
Analytics;Statistiques
"Your apps are automatically updated. No need to submit again your app once you make an update.";"Pas besoin de resoumettre votre application sur les stores pour la mettre à jour. Faites vos modifications et l'application se met à jour automatiquement."
"Unlimited and automatics updates";"Mises à jour illimitées et automatiques"
"Choose from a large panel of effective marketing features really useful for retailers and businesses.";"Une application sans fonctionnalités marketing n'a que peu d'intérêt pour les commerçants. Avec Tiger, choisissez parmi un grand nombre de fonctionnalités marketing performantes, telles que la carte de fidélité, les réductions segmentées et les notifications push."
"Marketing features";"Fonctionnalités Marketing"
"Beautiful features to highlight your business clients : photo galleries, video galleries, etc.";"De belles fonctionnalités pour mettre en avant les meilleurs atouts de vos clients : galeries photos, galeries vidéos, etc."
"Multimedia features";"Fonctionnalités Multimédia"
"Link the application to your clients Facebook fan page and let them choose what they want to share.";"À l'air du social et du mobile, il serait dommage de ne pas avoir ce type de fonctionnalités. Mettez en avant les pages Facebook ou comptes Twitter de vos clients, reliez leur compte Instagram ou leur page Youtube, ou intégrez un mur de discussion."
"Social features";"Fonctionnalités Sociales"
"Send Push notifications on your clients mobile, with no limit, no additional cost.";"Envoyez des notifications push sur le mobile de vos clients, sans aucune limite, sans aucun surcoût."
"Unlimited Push Notifications";"Notifications Push illimitées"
;
"Create your app company,<br/>Get 3 apps for free!";"Créez votre propre société,<br />Obtenez 3 apps gratuites"
"Sign-up and follow our two webinars, and <span class=""yellow f-bold"">we give you 3 apps for free.</span>";"Participez à nos deux webinars de formation, et <span class=""yellow f-bold"">maîtrisez parfaitement toutes les techniques</span> pour vendre des applications."
"During these two webinars, <span class=""yellow f-bold"">discover all sale techniques</span> to sell apps and";"Obtenez <span class=""yellow f-bold"">3 applications gratuites</span>, et trouvez sans risque vos premiers clients ""vitrines""."
"master the Tiger platform";"Apprenez comment ils vous permettront d'acquérir simplement de nouveaux clients."
"<span class=""yellow f-bold"">All details during our webinars</span>";"<span class=""yellow f-bold"">Tous les détails plus bas dans cette page</span>"
;
"Create your app company,<br/>Become a top reseller!";"Créez votre propre société,<br />Devenez un top revendeur !"
"Sign-up and follow our two webinars, and we give you all the keys <span class=""yellow f-bold"">to become a top reseller.</span>";"Participez à nos deux webinars de formation, et nous vous donnons toutes les clés <span class=""yellow f-bold"">pour devenir un top revendeur.</span>"
"During these two webinars, <span class=""yellow f-bold"">discover all sale techniques</span> to sell apps and master the Tiger platform.";"Au cours de ces deux webinars, <span class=""yellow f-bold"">découvrez toutes les techniques</span> pour vendre des applications et maîtriser parfaitement la plateforme Tiger"
"<span class=""yellow f-bold"">All details during our webinars</span>";"<span class=""yellow f-bold"">Tous les détails plus bas dans cette page</span>"
;
"Our webinars";"Nos webinars"
"Webinar 1/: Mastering the Tiger platform";"Webinar 1/ : Maîtriser la plateforme Tiger App Creator"
Program:;"Programme :"
