"Contact informations";"Informations de contact"
"Resize your picture";"Redimensionnez votre image"
"Contact us";Contactez-nous
"Enter your informations";"Saisissez vos informations"
Content;"Votre demande"
SEND;ENVOYER
"Your name";"Votre nom"
"Your email";"Votre email"
"Your request";"Votre demande"
"Your request:";"Votre demande :"
"Thank you for your request. We'll answer you as soon as possible.";"Nous vous remercions pour votre message. Nous vous répondrons dans les plus brefs délais"
"An error occurred while sending your message. We apologize and ask you to try later.";"Une erreur est survenue lors de l'envoi de votre message. Nous vous prions de nous excuser et vous invitons à réessayer ultérieurement."
"Your email address";"Votre adresse email"
CONTACT;CONTACTER
LOCATE;LOCALISER
Website;"Site web"
Locate;Localiser
"An error occurred while saving your contact informations.";"Une erreur est survenue lors de la sauvegarde de vos données de contact."
"Informations successfully saved";"Informations sauvegardées avec succès"
"Please enter your request";"Veuillez saisir votre demande"
"Your request has been successfully sent. We will answer you as soon as possible.";"Votre demande a été envoyée avec succès. Nous vous répondrons dans les plus brefs délais."
"An error occurred while sending your request. Please try again later.";"Une erreur est survenue lors de l'envoi de votre demande. Merci de réessayer ultérieurement."
"Please enter properly the following fields: <br />";"Veuillez renseigner correctement les champs suivants : <br />"
"Tiger App Creator - Contact The Tiger Team";"Contactez l'équipe de Tiger App Creator, nous répondons à vos questions."
"Tiger App Creator - Contact The Tiger Team, your solution for creating efficient mobile apps";"Contactez l'équipe de Tiger App Creator votre solution pour créer des applications mobiles performantes pour vos clients."
"Message from your app %s";"Message en provenance de votre application %s"
"Insert a <br /><span class=""bold"">cover image</span>";"Insérez une <br /><span class=""bold"">image de couverture</span>"
"Are you sure you want to remove the picture?";"Êtes-vous sûr de vouloir supprimer l'image ?"
